District,Petrol Price,Change
"Oct 12, 2025",102.59 ₹/L,  0.00
"Oct 11, 2025",102.59 ₹/L,+ 0.04
"Oct 10, 2025",102.63 ₹/L,- 0.04
"Oct 09, 2025",102.59 ₹/L,+ 0.04
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.61
"Oct 15, 2025",101.39 ₹/L,+ 0.09
"Oct 14, 2025",101.48 ₹/L,- 0.09
"Oct 13, 2025",101.39 ₹/L,  0.00
"Oct 12, 2025",101.39 ₹/L,  0.00
"Oct 11, 2025",101.39 ₹/L,+ 0.16
"Oct 10, 2025",101.55 ₹/L,  0.00
"Oct 09, 2025",101.55 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.38
"Oct 15, 2025",102.62 ₹/L,  0.00
"Oct 14, 2025",102.62 ₹/L,  0.00
"Oct 13, 2025",102.62 ₹/L,  0.00
"Oct 12, 2025",102.62 ₹/L,  0.00
"Oct 11, 2025",102.62 ₹/L,  0.00
"Oct 10, 2025",102.62 ₹/L,  0.00
"Oct 09, 2025",102.62 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.65
"Oct 15, 2025",101.35 ₹/L,+ 0.15
"Oct 14, 2025",101.50 ₹/L,- 0.42
"Oct 13, 2025",101.08 ₹/L,+ 0.30
"Oct 12, 2025",101.38 ₹/L,- 0.21
"Oct 11, 2025",101.17 ₹/L,+ 0.24
"Oct 10, 2025",101.41 ₹/L,- 0.33
"Oct 09, 2025",101.08 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.37
"Oct 15, 2025",102.63 ₹/L,  0.00
"Oct 14, 2025",102.63 ₹/L,  0.00
"Oct 13, 2025",102.63 ₹/L,  0.00
"Oct 12, 2025",102.63 ₹/L,  0.00
"Oct 11, 2025",102.63 ₹/L,  0.00
"Oct 10, 2025",102.63 ₹/L,  0.00
"Oct 09, 2025",102.63 ₹/L,- 0.01
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.23
"Oct 15, 2025",101.77 ₹/L,- 0.54
"Oct 14, 2025",101.23 ₹/L,+ 0.45
"Oct 13, 2025",101.68 ₹/L,+ 0.09
"Oct 12, 2025",101.77 ₹/L,- 0.54
"Oct 11, 2025",101.23 ₹/L,+ 1.07
"Oct 10, 2025",102.30 ₹/L,- 0.62
"Oct 09, 2025",101.68 ₹/L,+ 0.09
"Oct 19, 2025",177.00 ₹/L,  NA
